    Time (min)     P1 (mbar)     P2 (mbar)     Temp. (C)
      14.4581       2011.91       1151.32         25.01
      14.5412       2006.89       1152.32         24.98
      14.6250       2008.90       1151.32         24.98
      14.7076       2007.89       1153.32         25.01
      14.7912       2018.93       1151.32         24.96
      14.8750       2011.91       1151.32         24.97
      14.9576       2007.89       1156.33         24.91
      15.0414       2014.92       1156.33         24.89
      15.1240       2009.90       1155.33         24.91
      15.2078       2005.89       1151.32         24.94
      15.2917       2011.91       1161.34         24.91
      15.3742       1994.86       1162.34         24.93
      15.4583       1595.66       1585.19         24.87
      15.5409       1585.63       1580.18         24.88
      15.6248       1580.62       1591.20         24.90
      15.7076       1585.63       1587.19         24.93
      15.7914       1593.66       1581.18         24.93
      15.8740       1580.62       1587.19         24.96
      15.9578       1578.61       1573.16         24.94
      16.0417       1587.64       1585.19         24.97
      16.1248       1583.63       1582.18         25.01
      16.2083       1579.61       1582.18         24.97
      16.2909       1585.63       1587.19         24.98
      16.3748       1581.62       1581.18         24.99
      16.4573       1582.62       1581.18         25.00
      16.5409       1584.63       1582.18         24.95
      16.6248       1587.64       1582.18         24.96
      16.7073       1578.61       1582.18         24.97
      16.7912       1590.65       1586.19         24.97
      16.8750       1583.63       1587.19         24.99
      16.9578       1595.66       1586.19         25.01
      17.0414       1582.62       1579.17         25.01
      17.1240       1582.62       1585.19         25.01
      17.2076       1580.62       1582.18         24.95
